id,Chinese,PinYin,English,Source,LessonName,LessonId,WordType,Category
1,你好,ni3 hao3 ,hello,HSK 1,Week01_Lesson01,1,,
2,叫,jiao4,to call,HSK 1,Week01_Lesson01,1,verb,
3,什么,shen2 me5,what,HSK 1,Week01_Lesson01,1,particle,
4,名字,ming2 zi5,name,HSK 1,Week01_Lesson01,1,noun,
5,我,wo3,I / me,HSK 1,Week01_Lesson01,1,,
6,很,hen3,very ,HSK 1,Week01_Lesson01,1,,
7,高兴,gao1 xing4,happy,HSK 1,Week01_Lesson01,1,adjective,
8,认识,ren4 shi5,to know (someone),HSK 1,Week01_Lesson01,1,verb,
9,是,shi4,to be,HSK 1,Week01_Lesson02,2,verb,
10,哪,na3,which,HSK 1,Week01_Lesson02,2,,
11,国,guo2,country / nation,HSK 1,Week01_Lesson02,2,noun,
12,人,ren2,person / people,HSK 1,Week01_Lesson02,2,noun,
13,中国,zhong1 guo2,China,HSK 1,Week01_Lesson02,2,noun,
14,美国,mei3 guo2,USA,HSK 1,Week01_Lesson02,2,noun,
15,她,ta1,she,HSK 1,Week01_Lesson02,2,pronoun,
16,也,ye3,also / as well / too,HSK 1,Week01_Lesson02,2,,
17,英国,ying1 guo2,United Kingdom,HSK 1,Week01_Lesson02,2,noun,
18,德国,de2 guo2,Germany,HSK 1,Week01_Lesson02,2,noun,
19,韩国,han2 guo2,South Korea,HSK 1,Week01_Lesson02,2,noun,
20,泰国,tai4 guo2,Thailand,HSK 1,Week01_Lesson02,2,noun,
21,日本,ri4 ben3,Japan,HSK 1,Week01_Lesson02,2,noun,
22,加拿大,jia1 na2 da4,Canada,HSK 1,Week01_Lesson02,2,noun,
23,俄罗斯,e2 luo2 si1,Russia,HSK 1,Week01_Lesson02,2,noun,
24,澳大利亚,ao4 da4 li4 ya4,Australia,HSK 1,Week01_Lesson02,2,noun,
25,一,yi1,one,HSK 1,Week01_Lesson03,3,number,
26,二,er4,two,HSK 1,Week01_Lesson03,3,number,
27,三,san1,three,HSK 1,Week01_Lesson03,3,number,
28,四,si4,four,HSK 1,Week01_Lesson03,3,number,
29,五,wu3,five,HSK 1,Week01_Lesson03,3,number,
30,六,liu4,six,HSK 1,Week01_Lesson03,3,number,
31,七,qi1,seven,HSK 1,Week01_Lesson03,3,number,
32,八,ba1,eight,HSK 1,Week01_Lesson03,3,number,
33,九,jiu3,nine,HSK 1,Week01_Lesson03,3,number,
34,十,shi2,ten,HSK 1,Week01_Lesson03,3,number,
35,多大,duo1 da4,how old,HSK 1,Week01_Lesson03,3,other,
36,了,le5,particle to indicate change of state,HSK 1,Week01_Lesson03,3,particle,
37,岁,sui4,year (for age),HSK 1,Week01_Lesson03,3,number,
38,...呢?,ne5,particle used to ask reciprocal questions,HSK 1,Week01_Lesson03,3,particle,
39,他,ta1,he,HSK 1,Week01_Lesson03,3,pronoun,
40,你的,ni3 de5,your / yours,HSK 1,Week01_Lesson04,4,pronoun,
41,我的,wo3 de5,my / mine,HSK 1,Week01_Lesson04,4,pronoun,
42,电话,dian4 hua4,telephone,HSK 1,Week01_Lesson04,4,noun,
43,号码,hao4 ma3,phone number,HSK 1,Week01_Lesson04,4,noun,
44,多少,duo1 shao5,how much / how many,HSK 1,Week01_Lesson04,4,other,
45,明天,ming2 tian1,tomorrow,HSK 1,Week01_Lesson04,4,noun,
46,给,gei3,to / for / to give,HSK 1,Week01_Lesson04,4,preposition,
47,打电话,da3 dian4 hua4,to call / to phone / to ring,HSK 1,Week01_Lesson04,4,verb,
48,老师,lao3 shi1,teacher,HSK 1,Week01_Lesson05,5,noun,
49,同学,tong2 xue2,classmate,HSK 1,Week01_Lesson05,5,noun,
50,们,men5,plural indicator for pronouns,HSK 1,Week01_Lesson05,5,,
51,怎么样,zen3 me5 yang4,how? (is something / someone),HSK 1,Week01_Lesson05,5,,
52,谢谢,xie4 xie5,thanks,HSK 1,Week01_Lesson05,5,,
53,不客气,bu2 ke4 qi5,you are welcome,HSK 1,Week01_Lesson05,5,,
54,对不起,dui4 bu5 qi3,Sorry,HSK 1,Week01_Lesson05,5,,
55,没关系,mei2 guan1 xi5,It doesn't matter / That’s all right,HSK 1,Week01_Lesson05,5,,
56,再见,zai4 jian4,bye,HSK 1,Week01_Lesson05,5,,
57,谁,shei2,who / whom,HSK 1,Week02_Lesson01,6,,
58,妈妈,ma1 ma5,mother,HSK 1,Week02_Lesson01,6,noun,
59,今年,jin1 nian2,this year,HSK 1,Week02_Lesson01,6,,
60,这个,zhe4 ge5,this one,HSK 1,Week02_Lesson01,6,,
61,爸爸,ba4 ba5,father,HSK 1,Week02_Lesson01,6,,
62,哥哥,ge1 ge5,older brother,HSK 1,Week02_Lesson01,6,,
63,妹妹,mei4 mei5,younger sister,HSK 1,Week02_Lesson01,6,,
64,漂亮,piao4 liang5,pretty / beautiful,HSK 1,Week02_Lesson01,6,,
65,有,you3,have,HSK 1,Week02_Lesson02,7,,
66,狗,gou3,dog,HSK 1,Week02_Lesson02,7,,
67,吗,ma5,question particle,HSK 1,Week02_Lesson02,7,,
68,只,zhi1,measure word (dogs / cats),HSK 1,Week02_Lesson02,7,,
69,没有,mei2 you3,do not have ,HSK 1,Week02_Lesson02,7,,
70,猫,mao1,cat,HSK 1,Week02_Lesson02,7,,
71,汪汪,wang1 wang5,Wangwang (dog name),HSK 1,Week02_Lesson02,7,,
72,小,xiao3,small,HSK 1,Week02_Lesson02,7,,
73,喵喵,miao1 miao5,Miaomiao (cat name),HSK 1,Week02_Lesson02,7,,
74,在,zai4,to be at / in / on (location),HSK 1,Week02_Lesson03,8,,
75,北京,bei3 jing1,Beijing,HSK 1,Week02_Lesson03,8,,
76,学习,xue2 xi2,to study,HSK 1,Week02_Lesson03,8,,
77,汉语,han4 yu3,Chinese,HSK 1,Week02_Lesson03,8,,
78,呢,ne5,modal particle / action in prog.,HSK 1,Week02_Lesson03,8,,
79,学校,xue2 xiao4,school,HSK 1,Week02_Lesson03,8,,
80,个,ge4,most common measure word,HSK 1,Week02_Lesson03,8,,
81,儿子,er2 zi5,son,HSK 1,Week02_Lesson03,8,,
82,和,he2,and,HSK 1,Week02_Lesson03,8,,
83,女儿,nv3 er2,daughter,HSK 1,Week02_Lesson03,8,,
84,弟弟,di4 di5,younger brother ,HSK 1,Week02_Lesson04,9,,
85,会,hui4,can / to be able to / will,HSK 1,Week02_Lesson04,9,,
86,说,shuo1,to speak / to say,HSK 1,Week02_Lesson04,9,,
87,一点儿,yi4 diar3,a little,HSK 1,Week02_Lesson04,9,,
88,酷,ku4,cool / awesome,HSK 1,Week02_Lesson04,9,,
89,对,dui4,right / correct,HSK 1,Week02_Lesson04,9,,
90,写,xie3,to write,HSK 1,Week02_Lesson04,9,,
91,汉字 ,han4 zi4,Chinese character,HSK 1,Week02_Lesson04,9,,
92,太...了,tai4...le5,too / very,HSK 1,Week02_Lesson04,9,,
93,怎么,zen3 me5,how,HSK 1,Week02_Lesson04,9,,
94,读,du2,to read,HSK 1,Week02_Lesson04,9,,
95,大学,da4 xue2,university,HSK 1,Week02_Lesson04,9,,
96,朋友,peng2 you5,friend,HSK 1,Week02_Lesson05,10,,
97,看,kan4,to watch,HSK 1,Week02_Lesson05,10,,
98,电影,dian4 ying3,movie,HSK 1,Week02_Lesson05,10,,
99,你们,ni3 men5,you (plural),HSK 1,Week02_Lesson05,10,,
100,今天,jin1 tian1,today,HSK 1,Week02_Lesson05,10,,
101,想,xiang3,to want,HSK 1,Week02_Lesson05,10,,
102,功夫,gong1 fu5,kungfu,HSK 1,Week02_Lesson05,10,,
103,熊猫 ,xiong2 mao1,panda,HSK 1,Week02_Lesson05,10,,
104,现在,xian4 zai4,now,HSK 1,Week03_Lesson01,11,,
105,几,ji3,how many,HSK 1,Week03_Lesson01,11,,
106,点,dian3,o’clock,HSK 1,Week03_Lesson01,11,,
107,分,fen1,minute,HSK 1,Week03_Lesson01,11,,
108,吃饭,chi1 fan4,to have meal,HSK 1,Week03_Lesson01,11,,
109,吧,ba5,model particle / suggestion,HSK 1,Week03_Lesson01,11,,
110,好的,hao3 de5,Okay,HSK 1,Week03_Lesson01,11,,
111,中午,zhong1 wu3,noon / midday / noonday,HSK 1,Week03_Lesson01,11,,
112,晚上,wan3 shang4,evening,HSK 1,Week03_Lesson01,11,,
113,电视,dian4 shi4,TV,HSK 1,Week03_Lesson01,11,,
114,睡觉,shui4 jiao4,to sleep,HSK 1,Week03_Lesson01,11,,
115,什么时候,shen2 me5 shi2 hou5,when / what time,HSK 1,Week03_Lesson01,11,,
116,星期,xing1 qi1,week,HSK 1,Week03_Lesson02,12,,
117,去,qu4,to go,HSK 1,Week03_Lesson02,12,,
118,号,hao4,date,HSK 1,Week03_Lesson02,12,,
119,生日,sheng1 ri4,birthday,HSK 1,Week03_Lesson02,12,,
120,月,yue4,month / moon,HSK 1,Week03_Lesson02,12,,
121,快乐,kuai4 le4,happy,HSK 1,Week03_Lesson02,12,,
122,天气,tian1 qi4,weather,HSK 1,Week03_Lesson03,13,,
123,雨,yu3,rain,HSK 1,Week03_Lesson03,13,,
124,下雨,xia4 yu3,to rain,HSK 1,Week03_Lesson03,13,,
125,电脑,dian4 nao3,computer,HSK 1,Week03_Lesson03,13,,
126,外面,wai4 mian4,outside,HSK 1,Week03_Lesson03,13,,
127,热,re4,hot,HSK 1,Week03_Lesson03,13,,
128,冷,leng3,cold,HSK 1,Week03_Lesson03,13,,
129,有点儿,you3 dianr3,a bit,HSK 1,Week03_Lesson03,13,,
130,广州,Guang3 zhou1,Guangzhou,HSK 1,Week03_Lesson03,13,,
131,哈尔滨,Ha1 er3 bin1,Harbin,HSK 1,Week03_Lesson03,13,,
132,来,lai2,to come,HSK 1,Week03_Lesson04,14,,
133,多,duo1,many / a lot,HSK 1,Week03_Lesson04,14,,
134,车,che1,vehicle / car,HSK 1,Week03_Lesson04,14,,
135,这里,zhe4 li3,here,HSK 1,Week03_Lesson04,14,,
136,工作,gong1 zuo4,to work / job,HSK 1,Week03_Lesson04,14,,
137,...的时候,… de5 shi2 hou5,when,HSK 1,Week03_Lesson04,14,,
138,年,nian2,year,HSK 1,Week03_Lesson04,14,,
139,上海,Shang4 hai3,Shanghai,HSK 1,Week03_Lesson04,14,,
140,上个月,shang4 ge5 yue4,last month,HSK 1,Week03_Lesson05,15,,
141,前,qian2,before / ago,HSK 1,Week03_Lesson05,15,,
142,哪儿,nar3,where ,HSK 1,Week03_Lesson05,15,,
143,喜欢,xi3 huan5,to like,HSK 1,Week03_Lesson05,15,,
144,好吃,hao3 chi1,yummy,HSK 1,Week03_Lesson05,15,,
145,都,dou1,all / both,HSK 1,Week03_Lesson05,15,,
146,兵马俑,bing1 ma3 yong3,Terra Cotta Warriors,HSK 1,Week03_Lesson05,15,,
147,西安,Xi1 an1,Xi’an,HSK 1,Week03_Lesson05,15,,
148,香港,Xiang1 gang3,Hong Kong,HSK 1,Week03_Lesson05,15,,
149,中学,zhong1 xue2,middle school,HSK 1,Week04_Lesson01,16,,
150,银行 ,yin2 hang2,bank,HSK 1,Week04_Lesson01,16,,
151,明年,ming2 nian2,next year,HSK 1,Week04_Lesson01,16,,
152,外国人,wai4 guo2 ren2,foreigner,HSK 1,Week04_Lesson01,16,,
153,做,zuo4,to do,HSK 1,Week04_Lesson01,16,,
154,学生,xue2 sheng5,student,HSK 1,Week04_Lesson01,16,,
155,少,shao3,less / little / few,HSK 1,Week04_Lesson01,16,,
156,哦,o4,oh / ah / I see,HSK 1,Week04_Lesson01,16,,
157,医院,yi1 yuan4,hospital,HSK 1,Week04_Lesson02,17,,
158,医生,yi1 sheng1,doctor,HSK 1,Week04_Lesson02,17,,
159,住院,zhu4 yuan4,to be hospitalized,HSK 1,Week04_Lesson02,17,,
160,昨天,zuo2 tian1,yesterday,HSK 1,Week04_Lesson02,17,,
161,看见,kan4 jian4,to catch sight of / see,HSK 1,Week04_Lesson02,17,,
162,姐姐,jie3 jie5,elder sister,HSK 1,Week04_Lesson02,17,,
163,电影院,dian4 ying3 yuan4,cinema,HSK 1,Week04_Lesson02,17,,
164,嗯,ng4,Huh / Hmm / Well,HSK 1,Week04_Lesson02,17,,
165,咖啡厅,ka1 fei1 ting1,Cafe,HSK 1,Week04_Lesson03,18,,
166,那里 / 那 儿,na4 li3 / nar4,there,HSK 1,Week04_Lesson03,18,,
167,看书 / 读书,kan4 shu1 / du2 shu1,to read a book,HSK 1,Week04_Lesson03,18,,
168,本,ben3,measure word for books,HSK 1,Week04_Lesson03,18,,
169,中文,zhong1 wen2,Chinese language,HSK 1,Week04_Lesson03,18,,
170,好看,hao3 kan4,good-looking / interesting to read,HSK 1,Week04_Lesson03,18,,
171,爱,ai4,to love,HSK 1,Week04_Lesson04,19,,
172,呀,ya5,ah / oh,HSK 1,Week04_Lesson04,19,,
173,有时候,you3 shi2 hou5,sometimes,HSK 1,Week04_Lesson04,19,,
174,家,jia1,home / family / household,HSK 1,Week04_Lesson04,19,,
175,里,li3,inside,HSK 1,Week04_Lesson04,19,,
176,最,zui4,the most,HSK 1,Week04_Lesson04,19,,
177,打球 ,da3 qiu2,play ball games,HSK 1,Week04_Lesson04,19,,
178,请坐,qing3 zuo4,please sit down,HSK 1,Week04_Lesson05,20,,
179,手机,shou3 ji1,mobile phone,HSK 1,Week04_Lesson05,20,,
180,听,ting1,"listen, hear",HSK 1,Week04_Lesson05,20,,
181,音乐 ,yin1 yue4,music,HSK 1,Week04_Lesson05,20,,
182,书店,shu1 dian4,book shop,HSK 1,Week04_Lesson05,20,,
183,小学,xiao3 xue2,primary school,HSK 1,Week04_Lesson05,20,,
184,商店,shang1 dian4,shop,HSK 1,Week05_Lesson01,21,,
185,买,mai3,to buy,HSK 1,Week05_Lesson01,21,,
186,东西,dong1 xi5,stuff / things,HSK 1,Week05_Lesson01,21,,
187,一些,yi4 xie1,some / several / a few,HSK 1,Week05_Lesson01,21,,
188,水果,shui3 guo3,fruit,HSK 1,Week05_Lesson01,21,,
189,见,jian4,to see / to meet,HSK 1,Week05_Lesson01,21,,
190,苹果,ping2 guo3,apple,HSK 1,Week05_Lesson02,22,,
191,钱,qian2,money,HSK 1,Week05_Lesson02,22,,
192,元/块,yuan2 / kuai4,measure word for money,HSK 1,Week05_Lesson02,22,,
193,先生,xian1 sheng5,Mr. / Sir / Gentleman,HSK 1,Week05_Lesson02,22,,
194,前面,qian2 mian4,front,HSK 1,Week05_Lesson02,22,,
195,那,na4,that,HSK 1,Week05_Lesson02,22,,
196,件,jian4,measure word for clothes,HSK 1,Week05_Lesson02,22,,
197,衣服,yi1 fu5,clothes,HSK 1,Week05_Lesson02,22,,
198,米饭,mi3 fan4,cooked rice,HSK 1,Week05_Lesson02,22,,
199,网上,wang3 shang5,online,HSK 1,Week05_Lesson03,23,,
200,茶,cha2,tea,HSK 1,Week05_Lesson03,23,,
201,杯子,bei1 zi5,cup,HSK 1,Week05_Lesson03,23,,
202,学,xue2,to study / to learn,HSK 1,Week05_Lesson03,23,,
203,菜,cai4,"vegetable, dish",HSK 1,Week05_Lesson03,23,,
204,可以,ke2 yi3,"OK, could, might",HSK 1,Week05_Lesson03,23,,
205,好吧,hao3 ba5,"all right, Okay, OK",HSK 1,Week05_Lesson03,23,,
206,上网,shang4 wang3,to surf online,HSK 1,Week05_Lesson03,23,,
207,喂,wei4,hello,HSK 1,Week05_Lesson04,24,,
208,这几天,zhe4 ji3 tian1,these days,HSK 1,Week05_Lesson04,24,,
209,做饭,zuo4 fan4,to cook,HSK 1,Week05_Lesson04,24,,
210,学会,xue2 hui4,to have learnt,HSK 1,Week05_Lesson04,24,,
211,请,qing3,to invite,HSK 1,Week05_Lesson04,24,,
212,啊,a5,sentence - final interjection,HSK 1,Week05_Lesson04,24,,
213,能,neng2,can / be able to,HSK 1,Week05_Lesson04,24,,
214,住,zhu4,to live,HSK 1,Week05_Lesson04,24,,
215,小姐,xiao3 jie3,Miss,HSK 1,Week05_Lesson05,25,,
216,喝,he1,to drink,HSK 1,Week05_Lesson05,25,,
217,要,yao4,to want / to need,HSK 1,Week05_Lesson05,25,,
218,杯,bei1,measure word for cups,HSK 1,Week05_Lesson05,25,,
219,里面,li3 mian4,inside,HSK 1,Week05_Lesson05,25,,
220,水,shui3,water,HSK 1,Week05_Lesson05,25,,
221,好喝,hao3 he1,taste good for drink,HSK 1,Week05_Lesson05,25,,
222,每天,mei3 tian1,everyday,HSK 1,Week05_Lesson05,25,,
223,出租车,chu1 zu1 che1,taxi,HSK 1,Week06_Lesson01,26,,
224,和… 一起,he2 … yi4 qi3,together with ,HSK 1,Week06_Lesson01,26,,
225,回来,hui2 lai4,come back ,HSK 1,Week06_Lesson01,26,,
226,后天,hou4 tian1,the day after tomorrow,HSK 1,Week06_Lesson01,26,,
227,男朋友,nan2 peng2 you5,boyfriend,HSK 1,Week06_Lesson01,26,,
228,开车,kai1 che1,to drive,HSK 1,Week06_Lesson02,27,,
229,分钟,fen1 zhong1,minute,HSK 1,Week06_Lesson02,27,,
230,听见,ting1 jian4,to hear,HSK 1,Week06_Lesson02,27,,
231,回家 ,hui2 jia1,to go back home,HSK 1,Week06_Lesson02,27,,
232,打车,da3 che1,to take a taxi,HSK 1,Week06_Lesson02,27,,
233,回去,hui2 qu4,to go back / return,HSK 1,Week06_Lesson02,27,,
234,走路,zou3 lu4,to walk,HSK 1,Week06_Lesson02,27,,
235,这儿,zher4,here,HSK 1,Week06_Lesson03,28,,
236,飞机,fei1 ji1,air plane,HSK 1,Week06_Lesson03,28,,
237,很少,hen3 shao3,"very few, little",HSK 1,Week06_Lesson03,28,,
238,烤鸭,kao3 ya1,roast duck,HSK 1,Week06_Lesson03,28,,
239,没,mei2,no / not / never,HSK 1,Week06_Lesson03,28,,
240,饭店,fan4 dian4,restaurant,HSK 1,Week06_Lesson03,28,,
241,桌子,zhuo1 zi5,"table, desk",HSK 1,Week06_Lesson04,29,,
242,椅子,yi3 zi5,chair,HSK 1,Week06_Lesson04,29,,
243,书包,shu1 bao1,schoolbag,HSK 1,Week06_Lesson04,29,,
244,上面,shang4 mian4,above / over / on top of,HSK 1,Week06_Lesson04,29,,
245,下面,xia4 mian4,below / following / underneath,HSK 1,Week06_Lesson04,29,,
246,后面,hou4 mian4,behind / latter / at the back,HSK 1,Week06_Lesson04,29,,
247,八达岭,Ba1 da2 ling3,part of Chinese Great Wall,HSK 1,Week06_Lesson05,30,,
