id,mode,firstReviewDate,lastReviewDate,rating,previousRating,repetitionNumber,nTimesSeen,nTimesWrong,nTimesCorrect,nTimesBad,nTimesMedium,nTimesGood
1,en2cn,2021/04/07,2021/04/07,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
1,cn2en,2021/04/07,2021/04/07,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
4,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
5,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
3,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
6,en2cn,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
11,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
9,en2cn,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
15,cn2en,2021/04/07,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
13,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
3,cn2en,2021/04/07,2021/10/22,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
20,cn2en,2021/04/07,2021/04/07,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
18,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
9,cn2en,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
14,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
2,en2cn,2021/04/07,2021/04/07,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
7,en2cn,2021/04/07,2021/04/07,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
11,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
17,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
8,cn2en,2021/04/07,2021/10/17,4.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
14,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
15,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
16,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
7,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
12,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
16,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
2,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
10,cn2en,2021/04/07,2021/10/21,5.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
18,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
8,en2cn,2021/04/07,2021/10/21,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
13,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
5,en2cn,2021/04/07,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
17,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
19,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
20,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
19,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
10,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
21,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
12,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
21,en2cn,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
42,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
35,cn2en,2021/04/07,2021/04/07,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55,en2cn,2021/04/07,2021/10/21,4.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0
24,cn2en,2021/04/07,2021/10/21,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
47,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
54,en2cn,2021/04/07,2021/10/20,3.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0
45,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
26,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
53,en2cn,2021/04/07,2021/10/20,4.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0
48,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
32,en2cn,2021/04/07,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
45,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
27,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
30,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
55,cn2en,2021/04/07,2021/10/21,4.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0
46,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
49,cn2en,2021/04/07,2021/10/22,3.0,5.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
52,en2cn,2021/04/07,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
28,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
50,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
52,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
37,en2cn,2021/04/07,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
28,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
38,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
33,cn2en,2021/04/07,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
32,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
25,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
23,en2cn,2021/04/07,2021/04/07,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51,cn2en,2021/04/07,2021/10/17,5.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
44,cn2en,2021/04/07,2021/10/21,3.0,4.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0
53,cn2en,2021/04/07,2021/10/21,4.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0
37,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
42,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
29,en2cn,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
46,en2cn,2021/04/07,2021/10/17,4.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
41,cn2en,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
24,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
39,en2cn,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
41,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
40,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
40,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
25,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
31,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
36,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
33,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
56,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
26,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
29,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
48,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
23,cn2en,2021/04/07,2021/10/17,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
51,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
39,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
36,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
34,en2cn,2021/04/07,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
22,cn2en,2021/04/07,2021/10/20,4.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
47,cn2en,2021/04/07,2021/10/17,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
34,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
27,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
35,en2cn,2021/04/07,2021/10/20,4.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
38,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
50,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
43,en2cn,2021/04/07,2021/04/07,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22,en2cn,2021/04/07,2021/10/17,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
43,cn2en,2021/04/07,2021/10/20,4.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,0.0
49,en2cn,2021/04/07,2021/10/17,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
30,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
56,en2cn,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
31,cn2en,2021/04/07,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
44,en2cn,2021/04/07,2021/04/07,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54,cn2en,2021/04/07,2021/10/21,5.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
61,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
62,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
67,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
95,en2cn,2021/04/08,2021/10/22,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
82,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
64,cn2en,2021/04/08,2021/10/22,3.0,5.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
95,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
58,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
70,cn2en,2021/04/08,2021/04/08,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
92,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
63,cn2en,2021/04/08,2021/04/08,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
71,en2cn,2021/04/08,2021/10/17,5.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
87,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
64,en2cn,2021/04/08,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
93,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
90,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
75,cn2en,2021/04/08,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
85,en2cn,2021/04/08,2021/10/17,4.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
90,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
60,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
58,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
74,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
65,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
77,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
88,cn2en,2021/04/08,2021/10/22,1.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0
84,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
85,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
63,en2cn,2021/04/08,2021/10/21,5.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0
91,en2cn,2021/04/08,2021/10/22,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
76,cn2en,2021/04/08,2021/10/21,5.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
79,en2cn,2021/04/08,2021/04/08,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
84,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
57,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
94,en2cn,2021/04/08,2021/10/20,4.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0
73,en2cn,2021/04/08,2021/10/21,5.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
78,en2cn,2021/04/08,2021/04/08,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
59,en2cn,2021/04/08,2021/10/17,5.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
94,cn2en,2021/04/08,2021/10/20,3.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0
71,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
69,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
62,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
78,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
79,cn2en,2021/04/08,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
73,cn2en,2021/04/08,2021/10/22,5.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0
81,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
67,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
92,en2cn,2021/04/08,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
93,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
86,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
68,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
80,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
68,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
91,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
59,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
81,en2cn,2021/04/08,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
70,en2cn,2021/04/08,2021/10/17,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
76,en2cn,2021/04/08,2021/10/17,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
66,en2cn,2021/04/08,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
89,en2cn,2021/04/08,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
83,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
80,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
77,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
65,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
88,en2cn,2021/04/08,2021/10/22,4.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0
72,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
83,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
75,en2cn,2021/04/08,2021/10/21,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
82,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
60,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
69,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
87,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
86,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
72,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
74,en2cn,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
89,cn2en,2021/04/08,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
120,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
111,cn2en,2021/04/21,2021/10/21,5.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
109,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
105,en2cn,2021/04/21,2021/10/21,4.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0
98,en2cn,2021/04/21,2021/10/22,5.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
114,en2cn,2021/04/21,2021/10/21,3.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
121,cn2en,2021/04/21,2021/10/22,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
110,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
111,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
101,cn2en,2021/04/21,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
110,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
